,PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,Family_size
0,892,3,male,34.5,0,0,7.8292,0
1,893,3,female,47.0,1,0,7.0,1
2,894,2,male,62.0,0,0,9.6875,0
3,895,3,male,27.0,0,0,8.6625,0
4,896,3,female,22.0,1,1,12.2875,2
5,897,3,male,14.0,0,0,9.225,0
6,898,3,female,30.0,0,0,7.6292,0
7,899,2,male,26.0,1,1,29.0,2
8,900,3,female,18.0,0,0,7.2292,0
9,901,3,male,21.0,2,0,24.15,2
10,902,3,male,27.0,0,0,7.8958,0
11,903,1,male,46.0,0,0,26.0,0
12,904,1,female,23.0,1,0,82.2667,1
13,905,2,male,63.0,1,0,26.0,1
14,906,1,female,47.0,1,0,61.175,1
15,907,2,female,24.0,1,0,27.7208,1
16,908,2,male,35.0,0,0,12.35,0
17,909,3,male,21.0,0,0,7.225,0
18,910,3,female,27.0,1,0,7.925,1
19,911,3,female,45.0,0,0,7.225,0
20,912,1,male,55.0,1,0,59.4,1
21,913,3,male,9.0,0,1,3.1708,1
22,914,1,female,27.0,0,0,31.6833,0
23,915,1,male,21.0,0,1,61.3792,1
24,916,1,female,48.0,1,3,262.375,4
25,917,3,male,50.0,1,0,14.5,1
26,918,1,female,22.0,0,1,61.9792,1
27,919,3,male,22.5,0,0,7.225,0
28,920,1,male,41.0,0,0,30.5,0
29,921,3,male,27.0,2,0,21.6792,2
30,922,2,male,50.0,1,0,26.0,1
31,923,2,male,24.0,2,0,31.5,2
32,924,3,female,33.0,1,2,20.575,3
33,925,3,female,27.0,1,2,23.45,3
34,926,1,male,30.0,1,0,57.75,1
35,927,3,male,18.5,0,0,7.2292,0
36,928,3,female,27.0,0,0,8.05,0
37,929,3,female,21.0,0,0,8.6625,0
38,930,3,male,25.0,0,0,9.5,0
39,931,3,male,27.0,0,0,56.4958,0
40,932,3,male,39.0,0,1,13.4167,1
41,933,1,male,27.0,0,0,26.55,0
42,934,3,male,41.0,0,0,7.85,0
43,935,2,female,30.0,0,0,13.0,0
44,936,1,female,45.0,1,0,52.5542,1
45,937,3,male,25.0,0,0,7.925,0
46,938,1,male,45.0,0,0,29.7,0
47,939,3,male,27.0,0,0,7.75,0
48,940,1,female,60.0,0,0,76.2917,0
49,941,3,female,36.0,0,2,15.9,2
50,942,1,male,24.0,1,0,60.0,1
51,943,2,male,27.0,0,0,15.0333,0
52,944,2,female,20.0,2,1,23.0,3
53,945,1,female,28.0,3,2,263.0,5
54,946,2,male,27.0,0,0,15.5792,0
55,947,3,male,10.0,4,1,29.125,5
56,948,3,male,35.0,0,0,7.8958,0
57,949,3,male,25.0,0,0,7.65,0
58,950,3,male,27.0,1,0,16.1,1
59,951,1,female,36.0,0,0,262.375,0
60,952,3,male,17.0,0,0,7.8958,0
61,953,2,male,32.0,0,0,13.5,0
62,954,3,male,18.0,0,0,7.75,0
63,955,3,female,22.0,0,0,7.725,0
64,956,1,male,13.0,2,2,262.375,4
65,957,2,female,27.0,0,0,21.0,0
66,958,3,female,18.0,0,0,7.8792,0
67,959,1,male,47.0,0,0,42.4,0
68,960,1,male,31.0,0,0,28.5375,0
69,961,1,female,60.0,1,4,263.0,5
70,962,3,female,24.0,0,0,7.75,0
71,963,3,male,21.0,0,0,7.8958,0
72,964,3,female,29.0,0,0,7.925,0
73,965,1,male,28.5,0,0,27.7208,0
74,966,1,female,35.0,0,0,211.5,0
75,967,1,male,32.5,0,0,211.5,0
76,968,3,male,27.0,0,0,8.05,0
77,969,1,female,55.0,2,0,25.7,2
78,970,2,male,30.0,0,0,13.0,0
79,971,3,female,24.0,0,0,7.75,0
80,972,3,male,6.0,1,1,15.2458,2
81,973,1,male,67.0,1,0,221.7792,1
82,974,1,male,49.0,0,0,26.0,0
83,975,3,male,27.0,0,0,7.8958,0
84,976,2,male,27.0,0,0,10.7083,0
85,977,3,male,27.0,1,0,14.4542,1
86,978,3,female,27.0,0,0,7.8792,0
87,979,3,female,18.0,0,0,8.05,0
88,980,3,female,27.0,0,0,7.75,0
89,981,2,male,2.0,1,1,23.0,2
90,982,3,female,22.0,1,0,13.9,1
91,983,3,male,27.0,0,0,7.775,0
92,984,1,female,27.0,1,2,52.0,3
93,985,3,male,27.0,0,0,8.05,0
94,986,1,male,25.0,0,0,26.0,0
95,987,3,male,25.0,0,0,7.7958,0
96,988,1,female,76.0,1,0,78.85,1
97,989,3,male,29.0,0,0,7.925,0
98,990,3,female,20.0,0,0,7.8542,0
99,991,3,male,33.0,0,0,8.05,0
100,992,1,female,43.0,1,0,55.4417,1
101,993,2,male,27.0,1,0,26.0,1
102,994,3,male,27.0,0,0,7.75,0
103,995,3,male,26.0,0,0,7.775,0
104,996,3,female,16.0,1,1,8.5167,2
105,997,3,male,28.0,0,0,22.525,0
106,998,3,male,21.0,0,0,7.8208,0
107,999,3,male,27.0,0,0,7.75,0
108,1000,3,male,27.0,0,0,8.7125,0
109,1001,2,male,18.5,0,0,13.0,0
110,1002,2,male,41.0,0,0,15.0458,0
111,1003,3,female,27.0,0,0,7.7792,0
112,1004,1,female,36.0,0,0,31.6792,0
113,1005,3,female,18.5,0,0,7.2833,0
114,1006,1,female,63.0,1,0,221.7792,1
115,1007,3,male,18.0,1,0,14.4542,1
116,1008,3,male,27.0,0,0,6.4375,0
117,1009,3,female,1.0,1,1,16.7,2
118,1010,1,male,36.0,0,0,75.2417,0
119,1011,2,female,29.0,1,0,26.0,1
120,1012,2,female,12.0,0,0,15.75,0
121,1013,3,male,27.0,1,0,7.75,1
122,1014,1,female,35.0,1,0,57.75,1
123,1015,3,male,28.0,0,0,7.25,0
124,1016,3,male,27.0,0,0,7.75,0
125,1017,3,female,17.0,0,1,16.1,1
126,1018,3,male,22.0,0,0,7.7958,0
127,1019,3,female,27.0,2,0,23.25,2
128,1020,2,male,42.0,0,0,13.0,0
129,1021,3,male,24.0,0,0,8.05,0
130,1022,3,male,32.0,0,0,8.05,0
131,1023,1,male,53.0,0,0,28.5,0
132,1024,3,female,27.0,0,4,25.4667,4
133,1025,3,male,27.0,1,0,6.4375,1
134,1026,3,male,43.0,0,0,7.8958,0
135,1027,3,male,24.0,0,0,7.8542,0
136,1028,3,male,26.5,0,0,7.225,0
137,1029,2,male,26.0,0,0,13.0,0
138,1030,3,female,23.0,0,0,8.05,0
139,1031,3,male,40.0,1,6,46.9,7
140,1032,3,female,10.0,5,2,46.9,7
141,1033,1,female,33.0,0,0,151.55,0
142,1034,1,male,61.0,1,3,262.375,4
143,1035,2,male,28.0,0,0,26.0,0
144,1036,1,male,42.0,0,0,26.55,0
145,1037,3,male,31.0,3,0,18.0,3
146,1038,1,male,27.0,0,0,51.8625,0
147,1039,3,male,22.0,0,0,8.05,0
148,1040,1,male,27.0,0,0,26.55,0
149,1041,2,male,30.0,1,1,26.0,2
150,1042,1,female,23.0,0,1,83.1583,1
151,1043,3,male,27.0,0,0,7.8958,0
152,1044,3,male,60.5,0,0,14.4542,0
153,1045,3,female,36.0,0,2,12.1833,2
154,1046,3,male,13.0,4,2,31.3875,6
155,1047,3,male,24.0,0,0,7.55,0
156,1048,1,female,29.0,0,0,221.7792,0
157,1049,3,female,23.0,0,0,7.8542,0
158,1050,1,male,42.0,0,0,26.55,0
159,1051,3,female,26.0,0,2,13.775,2
160,1052,3,female,27.0,0,0,7.7333,0
161,1053,3,male,7.0,1,1,15.2458,2
162,1054,2,female,26.0,0,0,13.5,0
163,1055,3,male,27.0,0,0,7.0,0
164,1056,2,male,41.0,0,0,13.0,0
165,1057,3,female,26.0,1,1,22.025,2
166,1058,1,male,48.0,0,0,50.4958,0
167,1059,3,male,18.0,2,2,34.375,4
168,1060,1,female,27.0,0,0,27.7208,0
169,1061,3,female,22.0,0,0,8.9625,0
170,1062,3,male,27.0,0,0,7.55,0
171,1063,3,male,27.0,0,0,7.225,0
172,1064,3,male,23.0,1,0,13.9,1
173,1065,3,male,27.0,0,0,7.2292,0
174,1066,3,male,40.0,1,5,31.3875,6
175,1067,2,female,15.0,0,2,39.0,2
176,1068,2,female,20.0,0,0,36.75,0
177,1069,1,male,54.0,1,0,55.4417,1
178,1070,2,female,36.0,0,3,39.0,3
179,1071,1,female,64.0,0,2,83.1583,2
180,1072,2,male,30.0,0,0,13.0,0
181,1073,1,male,37.0,1,1,83.1583,2
182,1074,1,female,18.0,1,0,53.1,1
183,1075,3,male,27.0,0,0,7.75,0
184,1076,1,female,27.0,1,1,247.5208,2
185,1077,2,male,40.0,0,0,16.0,0
186,1078,2,female,21.0,0,1,21.0,1
187,1079,3,male,17.0,2,0,8.05,2
188,1080,3,female,27.0,8,2,69.55,10
189,1081,2,male,40.0,0,0,13.0,0
190,1082,2,male,34.0,1,0,26.0,1
191,1083,1,male,27.0,0,0,26.0,0
192,1084,3,male,11.5,1,1,14.5,2
193,1085,2,male,61.0,0,0,12.35,0
194,1086,2,male,8.0,0,2,32.5,2
195,1087,3,male,33.0,0,0,7.8542,0
196,1088,1,male,6.0,0,2,134.5,2
197,1089,3,female,18.0,0,0,7.775,0
198,1090,2,male,23.0,0,0,10.5,0
199,1091,3,female,27.0,0,0,8.1125,0
200,1092,3,female,27.0,0,0,15.5,0
201,1093,3,male,0.33,0,2,14.4,2
202,1094,1,male,47.0,1,0,227.525,1
203,1095,2,female,8.0,1,1,26.0,2
204,1096,2,male,25.0,0,0,10.5,0
205,1097,1,male,27.0,0,0,25.7417,0
206,1098,3,female,35.0,0,0,7.75,0
207,1099,2,male,24.0,0,0,10.5,0
208,1100,1,female,33.0,0,0,27.7208,0
209,1101,3,male,25.0,0,0,7.8958,0
210,1102,3,male,32.0,0,0,22.525,0
211,1103,3,male,27.0,0,0,7.05,0
212,1104,2,male,17.0,0,0,73.5,0
213,1105,2,female,60.0,1,0,26.0,1
214,1106,3,female,38.0,4,2,7.775,6
215,1107,1,male,42.0,0,0,42.5,0
216,1108,3,female,27.0,0,0,7.8792,0
217,1109,1,male,57.0,1,1,164.8667,2
218,1110,1,female,50.0,1,1,211.5,2
219,1111,3,male,27.0,0,0,8.05,0
220,1112,2,female,30.0,1,0,13.8583,1
221,1113,3,male,21.0,0,0,8.05,0
222,1114,2,female,22.0,0,0,10.5,0
223,1115,3,male,21.0,0,0,7.7958,0
224,1116,1,female,53.0,0,0,27.4458,0
225,1117,3,female,27.0,0,2,15.2458,2
226,1118,3,male,23.0,0,0,7.7958,0
227,1119,3,female,27.0,0,0,7.75,0
228,1120,3,male,40.5,0,0,15.1,0
229,1121,2,male,36.0,0,0,13.0,0
230,1122,2,male,14.0,0,0,65.0,0
231,1123,1,female,21.0,0,0,26.55,0
232,1124,3,male,21.0,1,0,6.4958,1
233,1125,3,male,27.0,0,0,7.8792,0
234,1126,1,male,39.0,1,0,71.2833,1
235,1127,3,male,20.0,0,0,7.8542,0
236,1128,1,male,64.0,1,0,75.25,1
237,1129,3,male,20.0,0,0,7.225,0
238,1130,2,female,18.0,1,1,13.0,2
239,1131,1,female,48.0,1,0,106.425,1
240,1132,1,female,55.0,0,0,27.7208,0
241,1133,2,female,45.0,0,2,30.0,2
242,1134,1,male,45.0,1,1,134.5,2
243,1135,3,male,27.0,0,0,7.8875,0
244,1136,3,male,27.0,1,2,23.45,3
245,1137,1,male,41.0,1,0,51.8625,1
246,1138,2,female,22.0,0,0,21.0,0
247,1139,2,male,42.0,1,1,32.5,2
248,1140,2,female,29.0,1,0,26.0,1
249,1141,3,female,27.0,1,0,14.4542,1
250,1142,2,female,0.92,1,2,27.75,3
251,1143,3,male,20.0,0,0,7.925,0
252,1144,1,male,27.0,1,0,136.7792,1
253,1145,3,male,24.0,0,0,9.325,0
254,1146,3,male,32.5,0,0,9.5,0
255,1147,3,male,27.0,0,0,7.55,0
256,1148,3,male,27.0,0,0,7.75,0
257,1149,3,male,28.0,0,0,8.05,0
258,1150,2,female,19.0,0,0,13.0,0
259,1151,3,male,21.0,0,0,7.775,0
260,1152,3,male,36.5,1,0,17.4,1
261,1153,3,male,21.0,0,0,7.8542,0
262,1154,2,female,29.0,0,2,23.0,2
263,1155,3,female,1.0,1,1,12.1833,2
264,1156,2,male,30.0,0,0,12.7375,0
265,1157,3,male,27.0,0,0,7.8958,0
266,1158,1,male,27.0,0,0,0.0,0
267,1159,3,male,27.0,0,0,7.55,0
268,1160,3,female,27.0,0,0,8.05,0
269,1161,3,male,17.0,0,0,8.6625,0
270,1162,1,male,46.0,0,0,75.2417,0
271,1163,3,male,27.0,0,0,7.75,0
272,1164,1,female,26.0,1,0,136.7792,1
273,1165,3,female,27.0,1,0,15.5,1
274,1166,3,male,27.0,0,0,7.225,0
275,1167,2,female,20.0,1,0,26.0,1
276,1168,2,male,28.0,0,0,10.5,0
277,1169,2,male,40.0,1,0,26.0,1
278,1170,2,male,30.0,1,0,21.0,1
279,1171,2,male,22.0,0,0,10.5,0
280,1172,3,female,23.0,0,0,8.6625,0
281,1173,3,male,0.75,1,1,13.775,2
282,1174,3,female,27.0,0,0,7.75,0
283,1175,3,female,9.0,1,1,15.2458,2
284,1176,3,female,2.0,1,1,20.2125,2
285,1177,3,male,36.0,0,0,7.25,0
286,1178,3,male,27.0,0,0,7.25,0
287,1179,1,male,24.0,1,0,82.2667,1
288,1180,3,male,27.0,0,0,7.2292,0
289,1181,3,male,27.0,0,0,8.05,0
290,1182,1,male,27.0,0,0,39.6,0
291,1183,3,female,30.0,0,0,6.95,0
292,1184,3,male,27.0,0,0,7.2292,0
293,1185,1,male,53.0,1,1,81.8583,2
294,1186,3,male,36.0,0,0,9.5,0
295,1187,3,male,26.0,0,0,7.8958,0
296,1188,2,female,1.0,1,2,41.5792,3
297,1189,3,male,27.0,2,0,21.6792,2
298,1190,1,male,30.0,0,0,45.5,0
299,1191,3,male,29.0,0,0,7.8542,0
300,1192,3,male,32.0,0,0,7.775,0
301,1193,2,male,27.0,0,0,15.0458,0
302,1194,2,male,43.0,0,1,21.0,1
303,1195,3,male,24.0,0,0,8.6625,0
304,1196,3,female,27.0,0,0,7.75,0
305,1197,1,female,64.0,1,1,26.55,2
306,1198,1,male,30.0,1,2,151.55,3
307,1199,3,male,0.83,0,1,9.35,1
308,1200,1,male,55.0,1,1,93.5,2
309,1201,3,female,45.0,1,0,14.1083,1
310,1202,3,male,18.0,0,0,8.6625,0
311,1203,3,male,22.0,0,0,7.225,0
312,1204,3,male,27.0,0,0,7.575,0
313,1205,3,female,37.0,0,0,7.75,0
314,1206,1,female,55.0,0,0,135.6333,0
315,1207,3,female,17.0,0,0,7.7333,0
316,1208,1,male,57.0,1,0,146.5208,1
317,1209,2,male,19.0,0,0,10.5,0
318,1210,3,male,27.0,0,0,7.8542,0
319,1211,2,male,22.0,2,0,31.5,2
320,1212,3,male,26.0,0,0,7.775,0
321,1213,3,male,25.0,0,0,7.2292,0
322,1214,2,male,26.0,0,0,13.0,0
323,1215,1,male,33.0,0,0,26.55,0
324,1216,1,female,39.0,0,0,211.3375,0
325,1217,3,male,23.0,0,0,7.05,0
326,1218,2,female,12.0,2,1,39.0,3
327,1219,1,male,46.0,0,0,79.2,0
328,1220,2,male,29.0,1,0,26.0,1
329,1221,2,male,21.0,0,0,13.0,0
330,1222,2,female,48.0,0,2,36.75,2
331,1223,1,male,39.0,0,0,29.7,0
332,1224,3,male,27.0,0,0,7.225,0
333,1225,3,female,19.0,1,1,15.7417,2
334,1226,3,male,27.0,0,0,7.8958,0
335,1227,1,male,30.0,0,0,26.0,0
336,1228,2,male,32.0,0,0,13.0,0
337,1229,3,male,39.0,0,2,7.2292,2
338,1230,2,male,25.0,0,0,31.5,0
339,1231,3,male,27.0,0,0,7.2292,0
340,1232,2,male,18.0,0,0,10.5,0
341,1233,3,male,32.0,0,0,7.5792,0
342,1234,3,male,27.0,1,9,69.55,10
343,1235,1,female,58.0,0,1,512.3292,1
344,1236,3,male,27.0,1,1,14.5,2
345,1237,3,female,16.0,0,0,7.65,0
346,1238,2,male,26.0,0,0,13.0,0
347,1239,3,female,38.0,0,0,7.2292,0
348,1240,2,male,24.0,0,0,13.5,0
349,1241,2,female,31.0,0,0,21.0,0
350,1242,1,female,45.0,0,1,63.3583,1
351,1243,2,male,25.0,0,0,10.5,0
352,1244,2,male,18.0,0,0,73.5,0
353,1245,2,male,49.0,1,2,65.0,3
354,1246,3,female,0.17,1,2,20.575,3
355,1247,1,male,50.0,0,0,26.0,0
356,1248,1,female,59.0,2,0,51.4792,2
357,1249,3,male,27.0,0,0,7.8792,0
358,1250,3,male,27.0,0,0,7.75,0
359,1251,3,female,30.0,1,0,15.55,1
360,1252,3,male,14.5,8,2,69.55,10
361,1253,2,female,24.0,1,1,37.0042,2
362,1254,2,female,31.0,0,0,21.0,0
363,1255,3,male,27.0,0,0,8.6625,0
364,1256,1,female,25.0,1,0,55.4417,1
365,1257,3,female,27.0,1,9,69.55,10
366,1258,3,male,27.0,1,0,14.4583,1
367,1259,3,female,22.0,0,0,39.6875,0
368,1260,1,female,45.0,0,1,59.4,1
369,1261,2,male,29.0,0,0,13.8583,0
370,1262,2,male,21.0,1,0,11.5,1
371,1263,1,female,31.0,0,0,134.5,0
372,1264,1,male,49.0,0,0,0.0,0
373,1265,2,male,44.0,0,0,13.0,0
374,1266,1,female,54.0,1,1,81.8583,2
375,1267,1,female,45.0,0,0,262.375,0
376,1268,3,female,22.0,2,0,8.6625,2
377,1269,2,male,21.0,0,0,11.5,0
378,1270,1,male,55.0,0,0,50.0,0
379,1271,3,male,5.0,4,2,31.3875,6
380,1272,3,male,27.0,0,0,7.75,0
381,1273,3,male,26.0,0,0,7.8792,0
382,1274,3,female,27.0,0,0,14.5,0
383,1275,3,female,19.0,1,0,16.1,1
384,1276,2,male,27.0,0,0,12.875,0
385,1277,2,female,24.0,1,2,65.0,3
386,1278,3,male,24.0,0,0,7.775,0
387,1279,2,male,57.0,0,0,13.0,0
388,1280,3,male,21.0,0,0,7.75,0
389,1281,3,male,6.0,3,1,21.075,4
390,1282,1,male,23.0,0,0,93.5,0
391,1283,1,female,51.0,0,1,39.4,1
392,1284,3,male,13.0,0,2,20.25,2
393,1285,2,male,47.0,0,0,10.5,0
394,1286,3,male,29.0,3,1,22.025,4
395,1287,1,female,18.0,1,0,60.0,1
396,1288,3,male,24.0,0,0,7.25,0
397,1289,1,female,48.0,1,1,79.2,2
398,1290,3,male,22.0,0,0,7.775,0
399,1291,3,male,31.0,0,0,7.7333,0
400,1292,1,female,30.0,0,0,164.8667,0
401,1293,2,male,38.0,1,0,21.0,1
402,1294,1,female,22.0,0,1,59.4,1
403,1295,1,male,17.0,0,0,47.1,0
404,1296,1,male,43.0,1,0,27.7208,1
405,1297,2,male,20.0,0,0,13.8625,0
406,1298,2,male,23.0,1,0,10.5,1
407,1299,1,male,50.0,1,1,211.5,2
408,1300,3,female,27.0,0,0,7.7208,0
409,1301,3,female,3.0,1,1,13.775,2
410,1302,3,female,27.0,0,0,7.75,0
411,1303,1,female,37.0,1,0,90.0,1
412,1304,3,female,28.0,0,0,7.775,0
413,1305,3,male,27.0,0,0,8.05,0
414,1306,1,female,39.0,0,0,108.9,0
415,1307,3,male,38.5,0,0,7.25,0
416,1308,3,male,27.0,0,0,8.05,0
417,1309,3,male,27.0,1,1,22.3583,2
